FILIAL; DATA PROC; IDADE INI; IDADE FIM;SETOR LOJA   ;MERC ;DIGITO;STATUS;DESCRICAO ;EMBALAGEM ;DT VENC   ;TRIBUTACAO;LC;QTDE_IDEAL;DT PRECO IND;PRECO IND;DT ULT ENTR;CUSTO ULT ENTR;QTDE ULT ENTR;QTDE PED COMPRA;QTDE PED FILIAL;QTDE PED NF AT;ESTOQ EMB1;ESTOQ EMB9;CUSTO MEDIO;PRECO VENDA;PERC RENT;QTDE VENDA EMB1;IDADE;NAO VENDE;TP ETIQ;MIX;DT PRECO;EMB.INTERMEDIARIA;PAR;DIREITO DEVOLUCAO;GESTAO ISV;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;30703;124; ;RF.QUEIJO T.EMMENTAL SUPREMO       ;KG  1 X 1000 1G     ;; ; ;1;     ;0;23/02/2026;50,54;4;0;0;0;6;577;51,25;93,9;13,27;1;67,51;2;X; ;01/10/2024;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;77527;156; ;RF.QUEIJO PRATO PRESIDENT FAT.     ;CXA 1 X 28 150G   ;; ; ;150;     ;0;26/03/2026;174,69;2;5;0;0;2;0;169,23;240,8;5,16;2;26;14;C; ;11/08/2025;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;29692;199; ;RF.QUEIJO M.FRESCAL FORMOSA LIGHT  ;KG  1 X 1000 1G     ;; ; ;1;     ;0;07/04/2026;11,93;34;0;0;0;28;766;11,94;18,4;10,5;28;14;1;X; ;12/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;61263;171; ;RF.QJO MUSS.ZERO LAC ITALAC        ;CXA 1 X 24 150G   ;; ; ;100;     ;0;27/03/2026;137,62;5;0;0;0;2;12;137,67;211,2;10,26;2;25;1;C; ;05/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;20000;114; ;RF.QUEIJO MUSSARELA FORMOSA F2     ;KG  1 X 1000 1G     ;; ; ;1;     ;0;07/04/2026;27,24;197;0;0;0;14;286;26,67;38;5,24;194;14;2;X; ;20/03/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;88442;121; ;RF.QJO CHEDDAR IPANEMA FATIADO     ;CXA 1 X 21 140G   ;; ; ;60;     ;0;14/04/2026;158,29;2;0;0;0;2;11;157,45;270,9;9,73;2;15,3;1;C; ;04/02/2026;; ;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;58529;175; ;RF.QUEIJO PRATO FAT.PRESIDENT      ;CXA 1 X 6 1KG    ;; ; ;110;     ;0;18/12/2025;219,13;2;0;0;0;1;5;220,86;323,4;7,15;0;124;999;X; ;19/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;19323;138; ;RF.COB.CUL.R.PIZZA BISN.           ;CXA 1 X 8 1800G  ;; ; ;50;     ;0;12/03/2026;65,91;10;0;0;10;6;0;67,67;86,24;-3,02;4;40;13;X; ;02/04/2026;;N;N;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;29693;158; ;RF.QJO PRATO LANCHE FORMOSA        ;KG  1 X 1000 1G     ;; ; ;1;     ;0;03/11/2025;37,41;24;0;0;0;11;910;34,25;57,9;16,28;0;169;999;X; ;22/02/2026;;N;S;S;
 945;21/04/26;   0; 999;047-RF.MUSSARELAS/REQUEIJAO BISNAG                                                                      ;50604;191; ;RF.QJO.MOZ.BOLA BUFALA BOM DES.PTE ;CXA 1 X 12 250G   ;; ; ;1;     ;0;17/03/2026;179,47;2;2;0;0;2;5;176,53;226,81;-2,38;2;37,41;1;X; ;29/03/2026;;N;S;S;
